sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
L,0.6000,0.6000,5.1999,0.0000,0.0000,0.0069,0.3122,0.3122,0.0000,0.0000,0.0000,0.0000,0.0000
R,0.8600,0.6000,5.1997,0.0018,0.0003,0.0138,0.6214,0.3620,3.4911,0.0000,0.0000,-0.0000,0.8485
L,1.1200,0.6002,5.1994,0.0054,0.0010,0.0207,1.1343,0.4714,7.3001,0.1906,0.0261,0.2411,0.7616
R,1.3800,0.6006,5.1990,0.0108,0.0021,0.0276,1.2656,0.5247,6.2096,1.6257,0.2561,1.6639,1.7260
L,1.6399,0.6013,5.1984,0.0180,0.0035,0.0345,1.6053,0.6231,6.6500,1.9712,0.2882,1.3938,0.2331
R,1.8998,0.6025,5.1977,0.0269,0.0052,0.0414,1.8232,0.5638,5.7926,0.5306,0.0913,0.3034,1.3209
L,2.1597,0.6041,5.1968,0.0377,0.0073,0.0483,2.1341,0.6133,5.8349,0.7541,0.1285,0.3919,0.2865
R,2.4195,0.6063,5.1957,0.0502,0.0097,0.0552,2.3297,0.6468,5.2363,0.9664,0.1825,0.4818,3.4629
L,2.6793,0.6092,5.1945,0.0646,0.0124,0.0621,2.6056,0.6874,5.2596,0.9897,0.1860,0.4083,0.1773
R,2.9390,0.6128,5.1931,0.0807,0.0155,0.0689,2.8760,0.6747,5.2919,0.6506,0.1223,0.1276,0.5859
L,3.1987,0.6173,5.1915,0.0985,0.0190,0.0758,3.1122,0.6887,5.2622,0.6018,0.1139,0.0789,0.7220
R,3.4583,0.6227,5.1896,0.1182,0.0228,0.0826,3.4065,0.5804,5.3181,-0.2743,-0.0515,-0.4218,3.0047
L,3.7177,0.6291,5.1875,0.1396,0.0269,0.0895,3.7173,0.4789,5.3086,-0.9468,-0.1765,-0.7044,3.6230
R,3.9771,0.6367,5.1852,0.1627,0.0314,0.0963,3.9947,0.5512,5.4123,-0.4056,-0.0748,-0.3390,2.8916
L,4.2363,0.6454,5.1826,0.1876,0.0362,0.1031,4.2711,0.5441,5.4166,-0.4221,-0.0778,-0.3054,0.1545
R,4.4954,0.6555,5.1796,0.2142,0.0413,0.1098,4.5298,0.5759,5.3691,-0.2512,-0.0468,-0.2082,1.2341
L,4.7544,0.6669,5.1763,0.2426,0.0468,0.1166,4.7167,0.6826,5.2305,0.2628,0.0502,0.0077,10.4804
R,5.0132,0.6798,5.1727,0.2726,0.0527,0.1233,4.9699,0.6765,5.1735,0.1748,0.0338,-0.0252,1.9702
L,5.2717,0.6942,5.1687,0.3044,0.0588,0.1301,5.2757,0.6678,5.2406,0.0872,0.0166,-0.0524,3.1818
R,5.5301,0.7103,5.1642,0.3379,0.0653,0.1368,5.5348,0.6736,5.2693,0.0895,0.0170,-0.0468,1.5572
L,5.7883,0.7281,5.1593,0.3730,0.0722,0.1435,5.8325,0.6847,5.3137,0.0952,0.0179,-0.0406,1.9238
R,6.0462,0.7476,5.1539,0.4098,0.0793,0.1501,6.0767,0.6097,5.2391,-0.1973,-0.0376,-0.1255,3.8916
L,6.3038,0.7691,5.1480,0.4482,0.0868,0.1568,6.3341,0.7184,5.2258,0.1655,0.0317,-0.0126,3.5850
R,6.5611,0.7925,5.1416,0.4883,0.0947,0.1634,6.5852,0.7478,5.1843,0.2261,0.0436,0.0051,0.5949
L,6.8181,0.8180,5.1345,0.5300,0.1029,0.1700,6.8351,0.7448,5.1753,0.1854,0.0358,-0.0060,0.2066
R,7.0747,0.8456,5.1268,0.5733,0.1114,0.1765,7.0793,0.7266,5.0945,0.0992,0.0195,-0.0275,3.1519
L,7.3309,0.8754,5.1185,0.6181,0.1202,0.1831,7.3011,0.8081,5.0429,0.3056,0.0605,0.0263,2.9242
R,7.5867,0.9074,5.1095,0.6645,0.1293,0.1896,7.5930,0.8188,5.1471,0.3023,0.0587,0.0225,4.4106
L,7.8420,0.9419,5.0997,0.7125,0.1388,0.1960,7.8449,0.7978,5.1446,0.2136,0.0415,0.0007,0.4799
R,8.0968,0.9788,5.0891,0.7619,0.1486,0.2025,8.0953,0.8137,5.0864,0.2229,0.0438,0.0030,2.5051
L,8.3511,1.0181,5.0777,0.8128,0.1587,0.2089,8.3341,0.8311,5.0660,0.2400,0.0473,0.0069,0.3945
R,8.6047,1.0601,5.0654,0.8652,0.1692,0.2153,8.6027,0.9142,5.1422,0.4184,0.0812,0.0442,6.9572
L,8.8578,1.1047,5.0522,0.9190,0.1799,0.2216,8.8413,0.9719,5.1109,0.5160,0.1006,0.0628,0.8649
R,9.1101,1.1521,5.0380,0.9742,0.1910,0.2279,9.1305,1.0078,5.1629,0.5546,0.1070,0.0661,6.8122
L,9.3617,1.2022,5.0228,1.0308,0.2024,0.2342,9.3686,1.0419,5.1342,0.5856,0.1136,0.0696,0.6688
R,9.6125,1.2552,5.0066,1.0887,0.2141,0.2404,9.6480,1.1090,5.1720,0.6880,0.1322,0.0850,4.6658
L,9.8625,1.3112,4.9892,1.1479,0.2261,0.2466,9.9224,1.2326,5.1693,0.9036,0.1731,0.1220,3.6606
R,10.1117,1.3701,4.9707,1.2084,0.2385,0.2528,10.1726,1.3134,5.0892,1.0030,0.1946,0.1381,5.1053
L,10.3598,1.4321,4.9511,1.2701,0.2511,0.2589,10.3989,1.3956,5.0367,1.1021,0.2154,0.1522,1.4472
R,10.6069,1.4972,4.9301,1.3330,0.2641,0.2650,10.6329,1.4705,4.9284,1.1685,0.2328,0.1629,4.3684
L,10.8530,1.5655,4.9079,1.3970,0.2773,0.2710,10.8586,1.5102,4.8971,1.1688,0.2343,0.1566,1.0323
R,11.0979,1.6370,4.8844,1.4621,0.2909,0.2770,11.1239,1.5591,4.9339,1.1888,0.2364,0.1506,1.7366
L,11.3416,1.7118,4.8595,1.5283,0.3047,0.2829,11.4022,1.6137,4.9688,1.2146,0.2398,0.1462,1.7795
R,11.5840,1.7899,4.8331,1.5955,0.3189,0.2888,11.6343,1.6675,4.9143,1.2320,0.2456,0.1453,0.8635
L,11.8251,1.8714,4.8053,1.6637,0.3333,0.2947,11.8643,1.7366,4.8835,1.2808,0.2565,0.1489,0.3898
R,12.0647,1.9564,4.7760,1.7327,0.3480,0.3005,12.1206,1.8207,4.9188,1.3595,0.2696,0.1539,1.4997
L,12.3029,2.0448,4.7451,1.8027,0.3631,0.3063,12.3620,1.8604,4.9091,1.3409,0.2666,0.1435,0.4385
R,12.5394,2.1368,4.7126,1.8734,0.3784,0.3120,12.6174,1.9212,4.9480,1.3673,0.2696,0.1387,0.8776
L,12.7743,2.2323,4.6784,1.9448,0.3940,0.3177,12.8197,2.0491,4.8652,1.5165,0.3022,0.1641,3.7810
R,13.0075,2.3314,4.6426,2.0170,0.4099,0.3233,13.0868,2.1508,4.9284,1.6130,0.3163,0.1687,3.6032
L,13.2388,2.4341,4.6050,2.0898,0.4260,0.3288,13.2918,2.2882,4.8436,1.7631,0.3491,0.1929,3.1506
R,13.4682,2.5405,4.5656,2.1632,0.4425,0.3344,13.4766,2.4146,4.6736,1.8673,0.3801,0.2163,11.6814
L,13.6955,2.6505,4.5245,2.2370,0.4592,0.3398,13.7254,2.5387,4.6647,1.9736,0.4003,0.2253,1.0638
R,13.9208,2.7643,4.4815,2.3113,0.4762,0.3452,13.9470,2.6433,4.6107,2.0316,0.4150,0.2294,0.3344
L,14.1439,2.8818,4.4366,2.3860,0.4934,0.3506,14.1762,2.8006,4.5671,2.1866,0.4465,0.2490,1.2835
R,14.3646,3.0030,4.3897,2.4610,0.5110,0.3559,14.4256,2.9084,4.6116,2.2467,0.4533,0.2416,1.2499
L,14.5830,3.1280,4.3410,2.5362,0.5288,0.3611,14.6295,2.9955,4.5581,2.2523,0.4589,0.2355,1.8949
R,14.7989,3.2568,4.2902,2.6116,0.5468,0.3663,14.8625,3.1404,4.5593,2.3716,0.4796,0.2429,4.1127
L,15.0122,3.3893,4.2374,2.6870,0.5651,0.3714,15.0717,3.3323,4.4774,2.5633,0.5200,0.2706,2.0386
R,15.2228,3.5256,4.1826,2.7625,0.5837,0.3765,15.2864,3.4866,4.3911,2.6631,0.5452,0.2837,2.9711
L,15.4306,3.6657,4.1257,2.8379,0.6025,0.3815,15.5002,3.6796,4.3205,2.8343,0.5806,0.3044,1.4054
R,15.6355,3.8096,4.0668,2.9131,0.6216,0.3865,15.7125,3.8096,4.2734,2.8734,0.5920,0.3010,0.7728
L,15.8375,3.9572,4.0057,2.9882,0.6409,0.3913,15.9313,3.9659,4.2338,2.9579,0.6098,0.3037,0.1797
R,16.0363,4.1085,3.9425,3.0629,0.6605,0.3962,16.1299,4.1203,4.1225,3.0183,0.6320,0.3136,1.9698
L,16.2319,4.2636,3.8772,3.1372,0.6803,0.4009,16.3270,4.3215,4.0418,3.1719,0.6654,0.3308,0.9448
R,16.4242,4.4224,3.8097,3.2111,0.7003,0.4056,16.5377,4.4818,4.0061,3.2393,0.6800,0.3285,0.5465
L,16.6130,4.5849,3.7400,3.2844,0.7206,0.4103,16.7142,4.6589,3.9142,3.3297,0.7049,0.3369,0.6680
R,16.7983,4.7510,3.6682,3.3570,0.7411,0.4148,16.8732,4.8380,3.7176,3.3876,0.7390,0.3604,5.1445
L,16.9799,4.9208,3.5942,3.4290,0.7619,0.4193,17.0383,5.0681,3.5996,3.5579,0.7796,0.3822,1.4008
R,17.1579,5.0941,3.5180,3.5001,0.7828,0.4238,17.2096,5.2330,3.5056,3.5923,0.7976,0.3833,1.6436
L,17.3319,5.2709,3.4396,3.5703,0.8040,0.4282,17.3668,5.4244,3.4078,3.6763,0.8233,0.3897,0.3318
R,17.5019,5.4513,3.3591,3.6395,0.8254,0.4325,17.5243,5.5890,3.3012,3.6953,0.8417,0.3915,3.1590
L,17.6679,5.6351,3.2764,3.7076,0.8471,0.4367,17.7106,5.7296,3.2829,3.6807,0.8425,0.3735,1.0267
R,17.8297,5.8222,3.1915,3.7746,0.8689,0.4409,17.8571,5.9193,3.1487,3.7325,0.8700,0.3859,1.3601
L,17.9872,6.0127,3.1045,3.8403,0.8909,0.4450,18.0282,6.1185,3.0939,3.8117,0.8890,0.3854,0.6384
R,18.1402,6.2064,3.0154,3.9046,0.9132,0.4490,18.1791,6.3217,3.0076,3.8878,0.9124,0.3898,0.7907
L,18.2888,6.4033,2.9242,3.9675,0.9356,0.4529,18.3016,6.5615,2.8719,4.0201,0.9505,0.4076,1.0588
R,18.4328,6.6033,2.8309,4.0289,0.9583,0.4568,18.4353,6.7700,2.7592,4.0814,0.9763,0.4146,0.4023
L,18.5720,6.8064,2.7356,4.0887,0.9811,0.4606,18.5774,6.9200,2.7101,4.0452,0.9805,0.3991,1.5740
R,18.7064,7.0124,2.6383,4.1467,1.0042,0.4644,18.7253,7.1265,2.6703,4.1128,0.9949,0.3912,0.5455
L,18.8359,7.2212,2.5389,4.2030,1.0274,0.4680,18.9136,7.2786,2.6991,4.0706,0.9853,0.3634,3.5798
R,18.9604,7.4328,2.4377,4.2574,1.0508,0.4716,19.0056,7.4779,2.5204,4.0901,1.0185,0.3832,4.1495
L,19.0798,7.6471,2.3345,4.3098,1.0744,0.4752,19.0994,7.7381,2.3718,4.2276,1.0595,0.4038,1.5171
R,19.1939,7.8640,2.2295,4.3602,1.0981,0.4786,19.2196,7.9452,2.2989,4.2680,1.0767,0.4004,0.2344
L,19.3028,8.0833,2.1227,4.4084,1.1221,0.4820,19.2991,8.1628,2.1610,4.3182,1.1068,0.4100,1.5348
R,19.4062,8.3050,2.0141,4.4544,1.1462,0.4853,19.3976,8.3736,2.0802,4.3601,1.1256,0.4063,2.2655
L,19.5042,8.5289,1.9038,4.4982,1.1704,0.4885,19.4886,8.5284,2.0038,4.2984,1.1346,0.3958,3.7580
R,19.5966,8.7549,1.7919,4.5396,1.1948,0.4916,19.5803,8.7364,1.8990,4.3173,1.1564,0.3997,0.5684
L,19.6835,8.9830,1.6784,4.5785,1.2194,0.4947,19.7352,8.9184,1.9216,4.2982,1.1504,0.3752,4.0290
R,19.7645,9.2129,1.5634,4.6149,1.2442,0.4977,19.8110,9.1380,1.7863,4.3254,1.1791,0.3883,1.0016
L,19.8398,9.4446,1.4470,4.6487,1.2690,0.5006,19.9384,9.3661,1.7595,4.3762,1.1885,0.3788,2.9585
R,19.9093,9.6779,1.3292,4.6798,1.2941,0.5034,19.9884,9.5835,1.5798,4.3801,1.2246,0.4014,2.7881
L,19.9728,9.9128,1.2100,4.7083,1.3192,0.5061,20.0755,9.8239,1.4989,4.4435,1.2455,0.4021,0.7336
R,20.0303,10.1489,1.0897,4.7339,1.3445,0.5088,20.1367,10.0711,1.3928,4.5183,1.2718,0.4058,7.1557
L,20.0818,10.3863,0.9683,4.7567,1.3700,0.5114,20.1869,10.3418,1.2535,4.6137,1.3055,0.4183,1.0006
R,20.1271,10.6247,0.8457,4.7765,1.3956,0.5139,20.2083,10.5716,1.0593,4.6125,1.3451,0.4421,3.3276
L,20.1663,10.8640,0.7223,4.7934,1.4212,0.5163,20.2669,10.8463,0.9490,4.7020,1.3716,0.4460,2.0435
R,20.1993,11.1041,0.5979,4.8073,1.4471,0.5186,20.2969,11.1000,0.8136,4.7504,1.4012,0.4522,4.9660
L,20.2261,11.3449,0.4727,4.8181,1.4730,0.5209,20.3307,11.3414,0.6976,4.7728,1.4257,0.4539,0.0149
R,20.2466,11.5861,0.3469,4.8257,1.4990,0.5231,20.2873,11.5802,0.3964,4.7314,1.4872,0.5038,12.1771
L,20.2608,11.8275,0.2204,4.8303,1.5252,0.5252,20.3552,11.8275,0.3540,4.7622,1.4966,0.4891,4.2064
R,20.2687,12.0692,0.0935,4.8316,1.5515,0.5272,20.3767,12.0625,0.2858,4.7892,1.5112,0.4727,3.1690
L,20.2701,12.3108,-0.0339,4.8297,1.5778,0.5291,20.3645,12.3508,0.1110,4.8647,1.5480,0.4843,1.3663
R,20.2652,12.5522,-0.1615,4.8245,1.6043,0.5310,20.3210,12.5842,-0.1298,4.8084,1.5978,0.5192,4.1885
L,20.2540,12.7933,-0.2894,4.8161,1.6308,0.5327,20.3433,12.8287,-0.2044,4.8147,1.6132,0.5095,1.4761
R,20.2363,13.0339,-0.4173,4.8043,1.6574,0.5344,20.3310,13.0579,-0.3346,4.7811,1.6407,0.5147,2.1823
L,20.2122,13.2738,-0.5453,4.7892,1.6842,0.5360,20.2959,13.2748,-0.4723,4.7366,1.6702,0.5184,1.1296
R,20.1818,13.5129,-0.6731,4.7707,1.7110,0.5375,20.2572,13.5075,-0.6104,4.7172,1.6995,0.5209,1.3102
L,20.1449,13.7509,-0.8008,4.7489,1.7378,0.5389,20.2347,13.7695,-0.7265,4.7406,1.7229,0.5182,1.1878
R,20.1017,13.9878,-0.9280,4.7237,1.7648,0.5403,20.1806,13.9948,-0.8881,4.6859,1.7581,0.5318,1.1366
L,20.0521,14.2233,-1.0549,4.6952,1.7918,0.5415,20.1244,14.2529,-1.0370,4.6946,1.7882,0.5347,0.4080
R,19.9962,14.4573,-1.1812,4.6633,1.8189,0.5427,20.0530,14.4800,-1.1895,4.6492,1.8213,0.5414,1.5200
L,19.9340,14.6897,-1.3069,4.6280,1.8460,0.5438,19.9451,14.7369,-1.3999,4.6419,1.8637,0.5549,1.6258
R,19.8655,14.9202,-1.4318,4.5894,1.8732,0.5448,19.8768,14.9537,-1.4992,4.5934,1.8863,0.5464,3.2101
L,19.7908,15.1486,-1.5558,4.5475,1.9004,0.5457,19.8419,15.1744,-1.5507,4.5491,1.8993,0.5338,1.7982
R,19.7099,15.3749,-1.6789,4.5023,1.9277,0.5465,19.7160,15.3841,-1.8146,4.4049,1.9616,0.5878,9.0508
L,19.6229,15.5989,-1.8008,4.4537,1.9550,0.5472,19.6836,15.5761,-1.8341,4.3263,1.9718,0.5711,3.0170
R,19.5298,15.8203,-1.9216,4.4019,1.9824,0.5479,19.5890,15.7799,-1.9532,4.2555,2.0011,0.5723,1.3043
L,19.4307,16.0390,-2.0411,4.3469,2.0098,0.5484,19.4845,15.9958,-2.0819,4.2037,2.0307,0.5730,0.0174
R,19.3257,16.2549,-2.1592,4.2887,2.0372,0.5489,19.3811,16.2024,-2.1757,4.1571,2.0530,0.5615,1.5916
L,19.2148,16.4679,-2.2759,4.2273,2.0647,0.5493,19.2705,16.3819,-2.2801,4.0559,2.0829,0.5635,0.7142
R,19.0981,16.6777,-2.3909,4.1628,2.0921,0.5496,19.1527,16.5778,-2.3989,3.9772,2.1135,0.5676,0.3029
L,18.9757,16.8841,-2.5042,4.0953,2.1196,0.5498,19.0210,16.7895,-2.5303,3.9265,2.1432,0.5686,0.1615
R,18.8477,17.0872,-2.6157,4.0248,2.1471,0.5500,18.8667,16.9831,-2.7301,3.7982,2.1940,0.6047,7.1841
L,18.7142,17.2866,-2.7253,3.9513,2.1746,0.5500,18.6928,17.2202,-2.9168,3.7749,2.2287,0.6078,1.9289
R,18.5752,17.4822,-2.8330,3.8749,2.2021,0.5500,18.5852,17.4207,-2.9113,3.7686,2.2286,0.5623,5.5105
L,18.4309,17.6740,-2.9386,3.7957,2.2296,0.5498,18.3708,17.6137,-3.1235,3.6754,2.2752,0.5781,4.1409
R,18.2814,17.8617,-3.0420,3.7137,2.2571,0.5496,18.2332,17.8023,-3.1604,3.6348,2.2865,0.5507,2.5627
L,18.1268,18.0453,-3.1432,3.6291,2.2846,0.5493,18.0977,17.9876,-3.2215,3.5621,2.3060,0.5437,0.8450
R,17.9671,18.2246,-3.2420,3.5418,2.3120,0.5489,17.9237,18.1444,-3.3444,3.4255,2.3442,0.5592,1.7975
L,17.8026,18.3994,-3.3385,3.4520,2.3395,0.5484,17.7900,18.2866,-3.3749,3.3010,2.3673,0.5555,1.0215
R,17.6334,18.5697,-3.4325,3.3597,2.3669,0.5479,17.6560,18.4663,-3.3985,3.2551,2.3777,0.5354,6.7889
L,17.4595,18.7353,-3.5239,3.2651,2.3943,0.5472,17.4591,18.6472,-3.5287,3.1873,2.4070,0.5371,0.5244
R,17.2810,18.8962,-3.6127,3.1682,2.4217,0.5465,17.2797,18.7895,-3.6158,3.0636,2.4387,0.5435,1.6481
L,17.0983,19.0521,-3.6988,3.0690,2.4490,0.5457,17.1164,18.9255,-3.6633,2.9473,2.4641,0.5423,0.3043
R,16.9113,19.2030,-3.7822,2.9678,2.4763,0.5448,16.9489,19.0949,-3.7100,2.9007,2.4780,0.5263,3.2248
L,16.7201,19.3488,-3.8628,2.8646,2.5035,0.5438,16.7311,19.2107,-3.8239,2.7540,2.5174,0.5378,2.6270
R,16.5251,19.4894,-3.9405,2.7594,2.5307,0.5427,16.5414,19.3643,-3.8989,2.6773,2.5399,0.5344,3.2378
L,16.3262,19.6246,-4.0153,2.6524,2.5578,0.5415,16.3149,19.5248,-4.0231,2.6087,2.5663,0.5335,0.8982
R,16.1237,19.7545,-4.0872,2.5436,2.5849,0.5403,16.0936,19.6106,-4.1191,2.4171,2.6109,0.5540,9.9177
L,15.9176,19.8789,-4.1560,2.4333,2.6119,0.5389,15.8871,19.7540,-4.1906,2.3413,2.6321,0.5481,0.7954
R,15.7082,19.9978,-4.2218,2.3214,2.6389,0.5375,15.6984,19.8760,-4.1897,2.2791,2.6434,0.5224,3.4980
L,15.4956,20.1110,-4.2846,2.2081,2.6657,0.5360,15.4659,20.0276,-4.2916,2.2259,2.6631,0.5162,1.4411
R,15.2799,20.2185,-4.3443,2.0935,2.6925,0.5344,15.2549,20.1688,-4.3370,2.1808,2.6757,0.4999,5.9514
L,15.0613,20.3203,-4.4008,1.9776,2.7193,0.5327,15.0646,20.2982,-4.3539,2.1142,2.6895,0.4903,2.0227
R,14.8400,20.4162,-4.4542,1.8607,2.7459,0.5310,14.8355,20.3831,-4.4193,1.9711,2.7221,0.4989,1.9231
L,14.6161,20.5063,-4.5044,1.7427,2.7724,0.5291,14.6187,20.5009,-4.4650,1.8959,2.7401,0.4927,0.7357
R,14.3897,20.5904,-4.5515,1.6239,2.7989,0.5272,14.3827,20.5904,-4.5385,1.7643,2.7708,0.5024,1.1188
L,14.1611,20.6686,-4.5954,1.5042,2.8253,0.5252,14.1362,20.6651,-4.6064,1.6285,2.8018,0.5073,0.6533
R,13.9304,20.7408,-4.6361,1.3839,2.8515,0.5231,13.8992,20.7383,-4.6640,1.4872,2.8329,0.5166,0.3280
L,13.6977,20.8070,-4.6736,1.2629,2.8777,0.5209,13.6255,20.8034,-4.7583,1.3463,2.8659,0.5223,1.6628
R,13.4632,20.8671,-4.7079,1.1415,2.9037,0.5186,13.3762,20.8383,-4.8258,1.1335,2.9109,0.5500,2.5996
L,13.2271,20.9211,-4.7390,1.0197,2.9296,0.5163,13.1312,20.8814,-4.8561,0.9833,2.9418,0.5530,0.1725
R,12.9895,20.9690,-4.7670,0.8977,2.9555,0.5139,12.8976,20.9393,-4.8720,0.8695,2.9650,0.5495,1.7450
L,12.7506,21.0108,-4.7919,0.7755,2.9812,0.5114,12.6992,20.9837,-4.8281,0.7532,2.9868,0.5453,1.9609
R,12.5106,21.0465,-4.8136,0.6532,3.0067,0.5088,12.4447,21.0248,-4.8742,0.6204,3.0150,0.5482,2.6041
L,12.2695,21.0761,-4.8322,0.5309,3.0322,0.5061,12.1992,21.0628,-4.8952,0.5025,3.0393,0.5454,0.1224
R,12.0276,21.0996,-4.8477,0.4088,3.0575,0.5034,11.9585,21.0834,-4.9094,0.3544,3.0695,0.5517,1.0621
L,11.7850,21.1170,-4.8602,0.2869,3.0826,0.5006,11.7168,21.0569,-4.8962,0.1552,3.1099,0.5633,2.0330
R,11.5418,21.1283,-4.8697,0.1653,3.1077,0.4977,11.4670,21.0445,-4.9041,-0.0174,3.1451,0.5714,1.1855
L,11.2982,21.1335,-4.8762,0.0441,3.1325,0.4947,11.2531,21.0387,-4.8552,-0.1529,3.1731,0.5716,0.7273
R,11.0544,21.1327,-4.8798,-0.0766,3.1573,0.4916,10.9955,21.0018,-4.8652,-0.3430,3.2120,0.5824,4.2959
L,10.8105,21.1259,-4.8805,-0.1966,3.1819,0.4885,10.7871,20.9649,-4.7953,-0.5023,3.2460,0.5877,0.7223
R,10.5666,21.1131,-4.8784,-0.3160,3.2063,0.4853,10.5402,20.9595,-4.7752,-0.5719,3.2608,0.5656,5.1537
L,10.3229,21.0943,-4.8735,-0.4347,3.2305,0.4820,10.2622,20.9832,-4.8385,-0.6257,3.2702,0.5474,3.1903
R,10.0795,21.0697,-4.8658,-0.5525,3.2546,0.4786,10.0241,20.9636,-4.8177,-0.7287,3.2917,0.5411,1.0012
L,9.8366,21.0391,-4.8555,-0.6693,3.2786,0.4752,9.8312,20.9238,-4.7253,-0.8527,3.3201,0.5435,1.6977
R,9.5942,21.0028,-4.8426,-0.7852,3.3023,0.4716,9.6029,20.9093,-4.6732,-0.8849,3.3287,0.5166,2.5388
